"id","name","description","unit","valueType","length","defaultValue","min","max","needReboot","category","writable","volatile","submodule"
20447,"Drv_UartMode","Drv_UartMode","-","uint32",4,"0","0","4292967295",0,"BASE",1,0,"DEFAULT"
20446,"Drv_RxAvgNum","Drv_RxAvgNum","-","uint32",4,"0","0","4292967295",0,"BASE",0,0,"DEFAULT"
20445,"Drv_RxMinNum","Drv_RxMinNum","-","uint32",4,"0","0","4292967295",0,"BASE",0,0,"DEFAULT"
20444,"Drv_RxMaxNum","Drv_RxMaxNum","-","uint32",4,"0","0","4292967295",0,"BASE",0,0,"DEFAULT"
20443,"Drv_RxFalseNum","Drv_RxFalseNum","-","uint32",4,"0","0","4292967295",0,"BASE",0,0,"DEFAULT"
20442,"Drv_RxTrueNum","Drv_RxTrueNum","-","uint32",4,"0","0","4292967295",0,"BASE",0,0,"DEFAULT"
20441,"Drv_RxThroughput","Drv_RxThroughput","-","uint32",4,"0","0","4294967295",0,"BASE",0,0,"DEFAULT"
20440,"Drv_RxPackLossRate","Drv_RxPackLossRate","-","float",4,"0","0","1",0,"BASE",0,0,"DEFAULT"
20439,"PMU_HW_CURR_VALUE","PMU_HW_CURR_VALUE","1","uint16",2,"0","0","50000",0,"PMU",1,0,"DEFAULT"
20438,"MC_PLL_SPEED_CMPS","the speed of plling","-","int16",2,"0","-32767","32768",0,"MC",0,0,"DEFAULT"
20437,"HW_BOOST_OUT_VOLT","HW_BOOST_OUT_VOLT","-","int32",4,"0","0","667000",0,"PMU",1,0,"DEFAULT"
20436,"HW_CURR_TEST","HW_CURR_TEST","0","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20435,"HW_BOOST_SWITCH","HW_BOOST_SWITCH","-","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20434,"HW_COMP3_VALUE","HW_COMP3_VALUE","-","uint8",1,"0","0","255",0,"PMU",1,0,"DEFAULT"
20433,"HW_COMP2_VALUE","HW_COMP2_VALUE","-","uint8",1,"0","0","255",0,"PMU",1,0,"DEFAULT"
20432,"HW_COMP1_VALUE","HW_COMP_VALUE","-","uint8",1,"0","0","255",0,"PMU",1,0,"DEFAULT"
20431,"HW_COMP_SWITCH","HW_COMP_SWITCH","-","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20430,"PMU_COMP_TEST_BUTTON","PMU_COMP_TEST_BUTTON","-","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20429,"PMU_COMP_HYST_HIGH","PMU_COMP_HYST_HIGH","-","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20428,"PMU_COMP_HYST_MID","PMU_COMP_HYST_MID","-","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20427,"PMU_COMP_HYST_LOW","PMU_COMP_HYST_LOW","-","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20426,"PMU_COMP_HYST_NO","PMU_COMP_HYST_NO","-","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20425,"BMS_SOC","BMS_SOC","-","uint8",1,"0","0","1",0,"PMU",0,0,"DEFAULT"
20424,"BMS_CHG_MOS_STATE","BMS_CHG_MOS_STATE","-","uint8",1,"0","0","1",0,"PMU",1,0,"DEFAULT"
20423,"BMS_CHG_MOS_X_SWITCH","BMS_CHG_MOS_X_SWITCH","-","uint8",1,"0","0","1",0,"PMU",0,0,"DEFAULT"
20422,"BMS_ONLINE","BMS_ONLINE","-","uint8",1,"0","0","255",0,"BMS",1,0,"DEFAULT"
20421,"DRV_COMP3_REF_SEL","DRV_COMP3_REF_SEL","-","uint8",1,"63","0","63",0,"PMU",1,0,"DEFAULT"
20420,"DRV_COMP2_REF_SEL","DRV_COMP2_REF_SEL","-","uint8",1,"63","0","63",0,"PMU",1,0,"DEFAULT"
20419,"DRV_COMP1_REF_SEL","DRV_COMP1_REF_SEL","-","uint8",1,"63","0","63",0,"PMU",1,0,"DEFAULT"
20418,"GET_BMS_VBAT_CURR","GET_BMS_VBAT_CURR","-","int32",4,"0","0","100000",0,"PMU",1,0,"DEFAULT"
20417,"BP_WIRE_POWER","Power Of Pulling wire","w","int32",4,"0","-2147483647","2147483647",0,"BP",1,0,"DEFAULT"
